QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USPRRI.11RELNEWJL14.R03A","Protestant","26","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Catholic","4","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Christian (Vol.)","8","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Mormon","*","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Muslim","18","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Something else","*","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Not religious","4","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Never heard of him/her (Vol.)","*","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
"USPRRI.11RELNEWJL14.R03A","Don't know what their religious beliefs are (Vol.)","40","Thinking about current political leaders...Do you happen to know what...Barack Obama's religion is?  Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","* = less than .5%.","","07/25/2011","Public Religion Research Institute","PRRI, Religion News Service","PRRI/RNS Religion News Survey","07/14/2011","07/17/2011","Y","national adult","1012","telephone","Interviews were conducted by Opinion Research Corporation." 
Number of items downloaded: 1
