100001401       121112951212112238222294322123441     1232412     98  08  2232322000011312212244212222222313313132222 931222221121111124        41322232124111 2300001000701192414 00100099808   01232       005000347114055751       36542232 1
100002415       114011256221112251222114321131341     1141412     02  99  22231220000212122123333121 2132319919332111 231222121141111123        41222441114111 2300002000892235427 00100090299   08232       075002572440515714       36433232 1
100003510       121112116291112238222112222123321     1341432     06  06  21323220000315122122333222122323129229211112 11222321133122323        21222542114136 2300003001091235614 00100090606   09232       001000452440525714       53421242 1
100004603       152112326192112223212222212444443     1244432     99  02  21144220000411121222111229922323123123321221 33122221111124424        4332154224413112300004001321194918 00100099902   02132       007000875113055751  00   43521242 2
100005803       153111521212112253122122213                                    220000515123323323222221223121131311212 1322222221112112           3231 21  2 6  300005002082195829 0010001       02132       063002596334135731       32012222 2
100006850       112212456121112253921114225                                    220000612133223224212221313121221121211 2192239212311131           2231 11  2 6  300006002253195835 0010009       02232       129001767331055751       16542222 1
100007864       161112951211112251222214221244444     9444443     99  99  21 44220000715122122333222122392421221321222 11222321213114114        44313141144146 3300007002311194915 00100099999   03132       007000736334135721       23022222 2
100008908       131112708112111124211223311444222     2233422     98  98  12 44220000814132112222121 21313121921211221 13222211141111222        22112232234122 2300008002361194917 00100099898   07131       039000438113135731       44121252 1
100009925       113211507121111194111212131122222     3222232     08  08  12 22220000911113212221111 11113233133312121 23222212211123322        2231352112213232300009002492000025 00100090808   11132       013000541440535734  00   5533125112
100010949       1532124561211112172229133933     4444412     13323  99  9921944220001011122193333221 2232313112132122 211222321119192224        44321511133124 3300010002553000234 00100099999   46232       059001392440555744       34831292 1
100011248       1611123592911192531122242242     3314111     13412  02  0422333220001112121223232221 2132312123331121 231222211121124121        41223112234112 2300011002854195439 00100090204   12232       125000254222335831       48442252 2
100012301       141011875111112202122114222                                    220001214123122414222122222123323221122 1122232311111421           3931 21  2 6  300012003013195138 0010009       06132       043000836312125811       14121212 2
100013301       1521120181121122532222132224     4333134     33432  04  0221 43220001311122122333222222323121211321222 11222221213121223        31323232134131 2300013003023200039 00100090402   08132       031000419312135831       44533252 2
100014313       151112712112112953222113223                                    220001412122122433222222212121111222122 1122222222211121           2232 21  2 6  300014003141194713 0010009       14232       163000700222335821       27241232 2
100015313       151011242221112224222124322344444     1144444     99  99  21344220001514122122333222122321121223221992 11222221913121224        44222142344141 4300015003152195728 00100099999   14232       163000963222335821       24122212 2
100016321       141112384292111217112212321344332     2122422     99  99  11 44220001613121112222111 11393299191912222 22222111111123323        32112121124122 2300016003201195713 00100099999   24132       009000281331025811       36641222 1
100017410       1621112362111111621119921112     4223121     12412  05  9912 42220001713113111222121 11113319113112121 29222212929293292        31113111124112 2300017003393195738 00100090599   07232       027001721312135831       24424242 2
100018562       1211125101121122212222921231     4144111     41434  01  022334122000181212912229922222222312919932129 231222121139924224        41221142114131 4300018003783001939 00100090102   39132       037000894440535824       27241232 1
100019616       112011510112111245111122121144431     1244414     08  08  11144220001915133212111111 1112323911331212 131222211111113224        31112141144112 4300019003942195529 00100090808   02132       139001032222335831       32411212 1
100020770       1511128911321192179922132932     3433493     33333  98  9999 34220002013122122399929922399123139299229 31222229133191293        3431313213313603300020004444200335 00100099899   11112       233000332331155851  00   2392321122
100021973       121112986291111153112223321                                    220002115133292222129222392133132399112 1122232113111212           3921 11  2 6  300021005152195725 0010009       11132       037000741113135831       29924122 1
100022978       1351112021921112529921223112     4343312     33433  04  0431143220002211113211222121 21221111121111111 11222221111114324        33312231134132 3300022005184200135 00100090404   05222       009004369112235831       24731242 2
100023207       151112106222111251221213221412132     3431424     99  02  33 12220002313123112222121 21213121133111121 31122311123122121        3231223211412204300023005281195513 00100099902   01232       005000117112035921  00   5603123111
100024212       1611125071211122532222923221     2444111     31311  08  0122224220002413132123333222122223191223222222 21222321133121224        41223132213111 1300024005334200235 00100090801   15222       061000313113315911       46742242 2
100025305       142212256222119211112123213241441     1114412     08  01  2214122000251512311222111222122312113332129 131922221121122114        41223112144111 2300025005621195919 00100090801   18112       086000699331025911       35331232 1
100026315       1211122322911122452221133224     4434333     43432  99  9999 4422000261413312233312212299113223329911 239219911113123223        43392542134136 2300026005714200335 00100099999   24132       065000234113325911       55231222 2
100027330       1510118272321111051112233913     4444321     44144  99  9819 44220002719193312111111 1111249913211212 211299329919113424        43113941141142 4300027005803200133 00100099998   17232       155000238223625911       59939232 3
100028336       1521122642111112451112123212     3342221     33424  98  9812 33220002811123213111111 1132343313311212 133111212221112124        2211213113412204300028005813195839 00100099898   06112       081000339333425911  00   3533125113
100029360       132112018112119954992294292                                    22000291112219239919922929312193339999 93191999994919122           9991 91  2 6  300029005822001721 0010009       03232       015000782444855954       35731222 2
100030412       112212134231112251222113222                                    22000301513222233322222222113122332122 11122232123312342           3225 21  2 6  300030005971195712 0010009       14222       003001013113925911       32211232 1
100031509       1141122021911112321112232213     4444421     44422  09  0911 44220003111122212222111 21323133113312221 31112312113213124        44311441144122 2300031006173002033 00100090909   04132       021002294444825914       43821292 2
100032540       121112240192112224222213322131142     1313222     99  99  29231220003212122122442222122321121939121122 31222211143123121        42322112132121 2300032006301201919 00100099999   09232       121000254334755951       57741232 1
100033570       151112993292112151111214321                                    220003313133113299111 11113293313111992 2122222321112332           1121 11  2 6  300033006384195837 0010009       17132       107000548113955951       24731212 2
100034619       1231123551111112991911233213     4443322     44432  98  9812 44220003413123211211111 1112343311211212 231222321121124324        33112441344132 2300034006593001037 00100099898   52132       073001403440535924  97   2372125113
100035717       152112191111111111111112311344444     2344434     99  99  12 44220003511123213222111 1131112912311111 113922321121114294        44113141144132 4300035006871200112 00100099999   19131       133000955113935921       52711242 2
100036770       1611128422121111539119243111     3444111     33444  09  0433134220003613131111122111 11293433113119121 31111211211114194        4111113113414214300036007084201138 00100090904   09132       013000339331135931  00   35131222 1
100037812       142111202192111131111122131224242     2223431     08  06  12 24120003711211212111111 11112439132112111 39222212212224112        4231312113413211300037007302204529 00100090806   09232       043000891221535931  00   43921242 1
100038864       1321127002121122522222142221     1313112     23222  02  0621213220003811122122444222122221121222222122 31222921133129221        3122112213212112300038007483202134 00100090206   03132       077000419334135931  00   45631232 1
100039908       141112126131112253222214222314444     1144441     09  99  21214220003911122122333121 2231312139332121 211222321111121214        44222142144141 1300039007571200011 00100090999   10232       039000772113135931       33322232 2
100040912       131112216291111125111912131344444     2344444     99  99  12 44220004013113113111111 1211321913211212 123111222221114114        44113141144146 4300040007651201315 00100099999   01132       127000339331155951       34531132 1
