id,correct_pattern,basis
160,^500 to 1.000,"About 770 U.S. deaths by mid-May 2004 (1,000th death in September 2004)"
159,^1.000 to 2.000,"About 1,700 U.S. deaths by mid-June 2005"
158,^around 2.000,"2,000th U.S. death on 25 October 2005, the day after fielding ended"
157,^around 2.?500|^around 2.0500,"About 2,370 U.S. deaths by mid-April 2006"
156,^around 3.000,"About 2,930 U.S. deaths by mid-December 2006 (3,000th on 31 December 2006)"
155,^around 3.000,"About 3,100 U.S. deaths by mid-February 2007"
154,^around 3.500,"About 3,550 U.S. deaths by late June 2007"
120,^around 3.500,"About 3,700 U.S. deaths by mid-August 2007"
153,^around 4.000,"About 3,970 U.S. deaths by early March 2008 (4,000th on 23 March 2008)"
152,^around 4.000,"About 4,020 U.S. deaths by early April 2008"
151,^around 4.[23]00,"About 4,210 U.S. deaths by early December 2008"
119,^around 4.300,"About 4,260 U.S. deaths by late March 2009"
117,^around 4.300,"About 4,350 U.S. deaths by mid-October 2009"
116,^10%,"BLS: unemployment rate 9.6% (September) and 9.7% (October) 2010"
115,^more than half,"Treasury: more than half of TARP bank investments repaid by November 2010"
