measure,question,n,successes,estimate,lower,upper
dk_offered,birth,246,18,0.07317073170731707,0.04678211837091484,0.1126848452337425
dk_offered,death,246,41,0.16666666666666666,0.12529707007945237,0.21828665387847054
dk_offered,deficit,246,143,0.5813008130081301,0.5188639268015882,0.6412376039403818
dk_offered,fraud,246,39,0.15853658536585366,0.11819391495104364,0.20937965593268226
dk_offered,illegal,246,56,0.22764227642276422,0.17966777016371918,0.28399210185068124
dk_offered,increase,246,51,0.2073170731707317,0.1613491887906864,0.2622853005382215
dk_offered,mmr,246,20,0.08130081300813008,0.053244177450695214,0.12223293922815914
dk_offered,religion,246,43,0.17479674796747968,0.132438516217987,0.22715536081413293
dk_offered,science,246,36,0.14634146341463414,0.1076161367086793,0.19594220456375105
fewer_substantive,birth,253,21,0.08300395256916997,0.054928902882610264,0.12355263600592609
fewer_substantive,death,253,33,0.13043478260869565,0.09440565926446334,0.17751873775997404
fewer_substantive,deficit,253,157,0.6205533596837944,0.5593784176707433,0.6781221800913386
fewer_substantive,fraud,253,49,0.19367588932806323,0.14971172406471672,0.24680315047425544
fewer_substantive,illegal,253,40,0.15810276679841898,0.1183058105618608,0.2081269203751856
fewer_substantive,increase,253,58,0.22924901185770752,0.18173178197318068,0.2848652361677173
fewer_substantive,mmr,253,25,0.09881422924901186,0.06782967014090836,0.14179948812626164
fewer_substantive,religion,253,47,0.1857707509881423,0.1426749945383214,0.23826607031133396
fewer_substantive,science,253,27,0.1067193675889328,0.07438615816004361,0.15081680979644324
media,birth,237,33,0.13924050632911392,0.10089504003908169,0.18909431296799722
media,death,237,80,0.33755274261603374,0.2803663634337778,0.39992123996707046
media,deficit,237,190,0.8016877637130801,0.7462894105181386,0.8474621831660001
media,fraud,237,84,0.35443037974683544,0.2962961546703575,0.4172083211044286
media,illegal,237,90,0.379746835443038,0.3203414420760215,0.4429883422596714
media,increase,237,69,0.2911392405063291,0.2370002078901784,0.3519409964823409
media,mmr,237,33,0.13924050632911392,0.10089504003908169,0.18909431296799722
media,religion,237,65,0.2742616033755274,0.22140228822669672,0.3343220437718847
media,science,237,39,0.16455696202531644,0.12277537266976275,0.21703928889822283
pyrite,birth,250,36,0.144,0.10586256867804507,0.19291234056271145
pyrite,death,250,59,0.236,0.1876066810298927,0.29238370110370193
pyrite,deficit,250,225,0.9,0.8565482893919354,0.9313450710117088
pyrite,fraud,250,92,0.368,0.3106374013678842,0.42935778969891303
pyrite,illegal,250,79,0.316,0.26152437100054704,0.3760446832137765
pyrite,increase,250,65,0.26,0.20955021872073465,0.3177137650370787
pyrite,mmr,250,31,0.124,0.08874849146643422,0.17063174975414003
pyrite,religion,250,58,0.232,0.18397079678847128,0.288140651741087
pyrite,science,250,48,0.192,0.14798411102572984,0.24533800146346396
scale_lenient,birth,267,21,0.07865168539325842,0.052016120316187964,0.11723957273870236
scale_lenient,death,267,23,0.08614232209737828,0.058085837636199934,0.1259386430977146
scale_lenient,deficit,267,88,0.3295880149812734,0.27597105439312164,0.38803902590907846
scale_lenient,fraud,267,26,0.09737827715355805,0.06732190570516125,0.13885575654728954
scale_lenient,illegal,267,12,0.0449438202247191,0.02589386241272529,0.07690228608655626
scale_lenient,increase,267,21,0.07865168539325842,0.052016120316187964,0.11723957273870236
scale_lenient,mmr,267,7,0.026217228464419477,0.012756463213538662,0.053117716088182464
scale_lenient,religion,267,12,0.0449438202247191,0.02589386241272529,0.07690228608655626
scale_lenient,science,267,6,0.02247191011235955,0.01033882367731975,0.048150961784889285
scale_strict,birth,267,17,0.06367041198501873,0.04012918801107102,0.09958892968577099
scale_strict,death,267,20,0.0749063670411985,0.04901076551665359,0.11286053369872467
scale_strict,deficit,267,77,0.2883895131086142,0.23735621546194288,0.34542553260562436
scale_strict,fraud,267,19,0.07116104868913857,0.04602679860078502,0.10846010677508117
scale_strict,illegal,267,8,0.0299625468164794,0.015259128635740641,0.057999444505492576
scale_strict,increase,267,15,0.056179775280898875,0.034337823158684055,0.09061150685913374
scale_strict,mmr,267,5,0.018726591760299626,0.008024748380095436,0.043080643242601524
scale_strict,religion,267,11,0.04119850187265917,0.023157803414132063,0.0722539512456374
scale_strict,science,267,5,0.018726591760299626,0.008024748380095436,0.043080643242601524
