id,question,n_options,mode,row,topic,polling_firm,date,keep,drop_reason,dk_shown,claim_cue,drop_category,correct,dk,incorrect,basis,confident_correct,confident_incorrect,total,opinion_wording,graded,format
187,"As far as you know, what do scientific studies conclude about global warming? Most scientific studies conclude that global warming is real. Most scientific studies conclude that global warming is not real. OR, Most scientific studies are divided, and there is no real consensus either way.",3,online,0,GW Scientist Agreement,60 Minutes/Vanity Fair,03/30/16-04/03/16,TRUE,,FALSE,FALSE,,0.61,0.03,0.36,Corpus columns,,,100,TRUE,FALSE,three or more
150,"As far as you know, would you say that average temperature around the world have been higher in the last three years than before that, lower, or about the same?",3,telephone,1,GW Happening,ABC News,03/09-14/06,TRUE,,FALSE,FALSE,,0.56,0.03,0.41,Roper topline,,,100,TRUE,FALSE,three or more
108,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",2,telephone,2,GW Scientist Agreement,ABC News,07/23-28/08,TRUE,,FALSE,FALSE,,0.39,0.04,0.57,Roper topline,,,100,TRUE,FALSE,binary
109,"Do you think most scientists agree with one another about the causes of global warming, or is there a lot of disagreement among scientists about that?",2,telephone,3,GW Scientist Agreement,ABC News,07/23-28/08,TRUE,,FALSE,FALSE,,0.32673267326732675,0.04950495049504951,0.6237623762376238,Roper topline,,,101,TRUE,FALSE,binary
114,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",2,telephone,5,GW Scientist Agreement,ABC News,03/09-14/06,TRUE,,FALSE,FALSE,,0.35,0.01,0.64,Roper topline,,,100,TRUE,FALSE,binary
149,"As far as you know, would you say that average temperature around the world have been higher in the last three years than before that, lower, or about the same?",3,telephone,6,GW Happening,ABC News/Washington Post,04/05-10/07,TRUE,,FALSE,FALSE,,0.56,0.07,0.37,Roper topline,,,100,TRUE,FALSE,three or more
105,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",2,telephone,8,GW Scientist Agreement,ABC News/Washington Post,12/10-13/09,TRUE,,FALSE,FALSE,,0.36,0.02,0.62,Roper topline,,,100,TRUE,FALSE,binary
111,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",2,telephone,9,GW Scientist Agreement,ABC News/Washington Post,04/05-10/07,TRUE,,FALSE,FALSE,,0.40404040404040403,0.030303030303030304,0.5656565656565656,Roper topline,,,99,TRUE,FALSE,binary
180,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue?",2,telephone,10,GW Scientist Agreement,ABC News/Washington Post,11/16-19/15,TRUE,,FALSE,FALSE,,0.43,0.06,0.51,Roper topline,,,100,TRUE,FALSE,binary
191,"Do you think most scientists agree with one another about whether or not global warming is happening, or do you think there is a lot of disagreement among scientists on this issue? (Options rotated)",2,online,11,GW Scientist Agreement,ABC News/Washington Post,11/16-19/15,TRUE,,FALSE,FALSE,,0.43,0.06,0.51,Corpus columns,,,100,TRUE,FALSE,binary
204,"As far as you know, how many medical scientists say that childhood vaccines for measles, mumps and rubella are safe for healthy children?...Almost all, more than half, about half, fewer than half, almost none",5,online,14,Vaccines Medical Scientists,"Abt SRBI, Inc.",05/10/16-06/10/16,TRUE,,FALSE,FALSE,,0.55,0.02,0.43,Roper topline,,,100,TRUE,FALSE,three or more
21,"Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hundu, atheist, agnostic, or something else?",7,telephone,15,Obama Religion,"Abt SRBI, Inc.",04/14/11-07/22/11,TRUE,,FALSE,FALSE,,0.5432098765432098,0.3358024691358025,0.12098765432098765,Roper topline,,,101.25,FALSE,FALSE,three or more
23,Do you personally believe that Barack Obama is a Muslim or a Christian?,2,telephone,16,Obama Religion,"Abt SRBI, Inc.",08/16-17/10,TRUE,,FALSE,FALSE,,0.47,0.24,0.29,Roper topline,,,100,TRUE,FALSE,binary
6,"Do you think Barack Obama was born in the United States, or not?",2,telephone,19,Obama Citizenship,Anderson Robbins Research/Shaw & Co. Research,04/03-05/11,TRUE,,FALSE,FALSE,,0.6633663366336634,0.09900990099009901,0.2376237623762376,Roper topline,,,101,TRUE,FALSE,binary
228,"Do you think Russia interfered in the 2016 presidential election, or not?",2,telephone,20,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,07/16-18/17,TRUE,,FALSE,FALSE,,0.55,0.11,0.34,Roper topline,,,100,TRUE,FALSE,binary
229,Who do you think Russia wanted to win the (2016) presidential election--Hillary Clinton or Donald Trump?,2,telephone,21,Russia Meddling,Anderson Robbins Research/Shaw & Co. Research,07/16-18/17,TRUE,,FALSE,FALSE,,0.65,0.11,0.24,Roper topline,,,100,TRUE,FALSE,binary
100,"What is your personal opinion? Do you think that the world's temperature probably has been going up over the past 100 years, or do you think this probably has not been happening?",2,telephone,26,GW Happening,AP/GfK Roper Public Affairs & Corporate Communications,11/29/12-12/03/12,TRUE,,FALSE,FALSE,,0.78,0.04,0.18,Corpus columns,,,100,TRUE,FALSE,binary
231,"Do you believe Russia tried to interfere in the 2016 US election, or not? Do you think Russia interfered in order to help elect Donald Trump, or do you think they interfered, but not to help elect Donald Trump?",3,telephone,27,Russia Meddling,CBS News,06/15-18/17,TRUE,,FALSE,FALSE,,0.43564356435643564,0.07920792079207921,0.48514851485148514,Roper topline,,,101,TRUE,FALSE,three or more
234,"Do you believe Russia tried to interfere in the 2016 US election, or not? Do you think Russia interfered in order to help elect Donald Trump, or do you think they interfered, but not to help elect Donald Trump?",3,telephone,28,Russia Meddling,CBS News,03/25-28/17,TRUE,,FALSE,FALSE,,0.4,0.13,0.47,Roper topline,,,100,TRUE,FALSE,three or more
237,"Do you believe Russia tried to interfere in the 2016 US election, or not? Do you think Russia interfered in order to help elect Donald Trump, or do you think they interfered, but not to help elect Donald Trump?",3,telephone,29,Russia Meddling,CBS News,01/13-17/17,TRUE,,FALSE,FALSE,,0.43564356435643564,0.09900990099009901,0.46534653465346537,Roper topline,,,101,TRUE,FALSE,three or more
8,"Do you think Barack Obama was born in the United States, or do you think he was born in another country?...Hawaii, Kansas, someplace else in the US, not sure which state in the US, Kenya, Indonesia, someplace else outside the US, not sure which country",8,telephone,33,Obama Citizenship,CBS News,06/01-03/10,TRUE,,FALSE,FALSE,,0.63,0.13,0.24,Roper topline,,,100,TRUE,FALSE,three or more
194,"Which statement comes closest to your view about global warming? Global warming is caused mostly by human activity such as burning fossil fuels. Global warming is caused mostly by natural patterns in the earth's environment. OR, Global warming does not exist.",3,online,36,GW Happening Cause,CBS News/New York Times,09/10-14/14,TRUE,,FALSE,FALSE,,0.54,0.02,0.44,Corpus columns,,,100,TRUE,FALSE,three or more
5,"According to the Constitution, American presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?",2,telephone,41,Obama Citizenship,CBS News/New York Times,04/15-20/11,TRUE,,FALSE,TRUE,,0.57,0.18,0.25,Roper topline,,,100,TRUE,FALSE,binary
11,"According to the Constitution, American Presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?",2,telephone,42,Obama Citizenship,CBS News/New York Times,04/05-12/10,TRUE,,FALSE,TRUE,,0.58,0.22,0.2,Roper topline,,,100,TRUE,FALSE,binary
195,Which of the following statements comes closest to your view of global warming? Global warming is a proven fact and is mostly caused by emissions from cars and industrial facilities such as power plants and factories. Global warming is a proven fact and is mostly caused by natural changes that have nothing to do with emissions from cars and industrial facilities. Global warming is a theory that has not yet been proven.,3,online,43,GW Happening Cause,CNN/ORC,01/14-15/13,TRUE,,FALSE,FALSE,,0.49,0.04,0.47,Corpus columns,,,100,TRUE,FALSE,three or more
